segment,start,finish,mean,sigma
190,12224,12265,1010.05,1066.76
191,12266,12310,951.564,623.087
192,12311,12331,929.688,250.225
193,12332,12367,985.529,1494.87
194,12368,12388,930.06,997.83
195,12389,12526,985.282,1046.12
196,12527,12555,948.546,512.333
197,12556,12585,979.949,537.434
198,12586,12621,849.463,2237.33
199,12622,12705,917.912,1643.08
200,12706,12894,832.215,5840.35
201,12895,12930,1024.31,1418.66
202,12931,13353,992.83,2033.36
203,13354,13397,927.923,2100.01
204,13398,13424,994.503,1186.97
205,13425,13463,940.106,1337.43
206,13464,13528,1003.76,1429.02
207,13529,13550,785.351,5919.96
208,13551,13580,930.47,464.511
209,13581,13634,876.303,1254.65
210,13635,13671,906.864,2212.63
211,13672,13701,1018.26,3527.02
212,13702,13736,904.532,3443.77
213,13737,13768,1027.1,1697.14
214,13769,13806,983.965,1194.1
215,13807,13847,932.738,1339.35
216,13848,13906,1002.38,1088.69
217,13907,13965,964.117,783.184
218,13966,14004,904.279,2475.22
219,14005,14030,996.095,401.601
220,14031,14075,950.522,4644.21
221,14076,14129,846.644,7340.96
222,14130,14167,1024.88,1091.52
223,14168,14187,869.141,1245.6
224,14188,14303,923.021,932.216
225,14304,14331,881.976,1014.26
226,14332,14353,926.848,1183.19
227,14354,14383,796.494,2097.75
228,14384,14408,895.955,1864.29
229,14409,14447,1027.85,1856.15
230,14448,14483,1110.24,1317.59
231,14484,14553,1067.41,787.536
232,14554,14576,910.036,1706.95
233,14577,15178,994.421,2880.85
234,15179,15242,981.569,614.957
235,15243,15295,945.609,1096.2
236,15296,15328,1004.5,820.314
237,15329,15381,975.974,619.38
238,15382,15446,816.228,4131.51
239,15447,15564,991.347,2334.26
240,15565,15834,930.683,5298.01
241,15835,15879,984.203,1929.53
242,15880,15964,1027.85,1695.08
243,15965,15989,968.126,411.612
244,15990,16032,1008.54,955.705
245,16033,16112,967.091,844.748
246,16113,16222,1006.54,1317.57
247,16223,16257,981.185,526.574
248,16258,16290,954.311,1000.01
249,16291,16365,790.418,5586.16
250,16366,17009,1020.53,2061.39
251,17010,17052,952.581,977.706
252,17053,17128,1057.46,1439.96
253,17129,17274,1013.86,1376.24
254,17275,17373,835.67,3172.55
255,17374,17420,953.293,1726.27
256,17421,17447,917.125,1059.61
257,17448,17589,963.799,1647.06
258,17590,17628,906.652,3906.13
