size,mean,sigma
36,914.664,1267.85
45,866.474,1166.44
39,838.944,2475.53
33,875.646,1792.05
32,815.675,1397.38
24,779.298,240.146
41,853.468,1790.69
92,773.119,1562.6
75,753.647,704.925
60,789.454,762.263
43,844.842,990.52
36,779.732,1189.12
41,799.057,1509.35
27,848.533,1901.85
105,772.01,1815.6
262,847.487,1829.74
24,787.436,307.717
76,828.158,1384.15
40,742.064,2205.83
76,621.962,5399.73
